unique ,sum,,,sum,(All)
French,14,,,,
Japanese,72,,,unique ,Sum of sum
Seafood,49,,,North Indian,2992
Chinese,855,,, Chinese,1831
Asian,77,,, Fast Food,1282
European,62,,, North Indian,943
Filipino,6,,,Chinese,855
American,278,,, Mughlai,775
Korean,9,,,Fast Food,672
Cafe,617,,,Bakery,621
Italian,234,,,Cafe,617
Fast Food,672,,, Italian,514
Bakery,621,,, Continental,488
Brazilian,22,,, Desserts,469
Pizza,232,,, South Indian,367
Arabian,5,,, Street Food,317
Bar Food,9,,,American,278
Mexican,62,,,South Indian,262
International,13,,,Mithai,246
Peruvian,1,,,Street Food,236
Desserts,150,,,Continental,235
Juices,12,,,Italian,234
Beverages,79,,,Pizza,232
Lebanese,25,,,Mughlai,215
Burger,116,,, Thai,179
Steak,13,,,Ice Cream,178
Indian,51,,,Desserts,150
Sushi,13,,, Pizza,143
BBQ,18,,, Asian,143
Gourmet Fast Food,1,,, Beverages,136
,0,,, Burger,129
Coffee and Tea,9,,, Seafood,120
Southern,5,,,Burger,116
Breakfast,24,,, Bakery,113
Sandwich,5,,,Biryani,112
German,4,,, Mexican,111
Vietnamese,3,,,Raw Meats,110
Thai,29,,, American,108
Modern Australian,3,,, Healthy Food,92
Latin American,7,,, Salad,89
Mediterranean,28,,, Mithai,89
Tea,17,,, European,81
Greek,6,,,Beverages,79
Spanish,4,,, Cafe,79
Hawaiian,5,,,Finger Food,78
Irish,1,,,Asian,77
New American,2,,,Japanese,72
Caribbean,4,,, Mediterranean,71
Cajun,1,,, Biryani,63
Pub Food,1,,,European,62
Tapas,2,,,Mexican,62
Singaporean,2,,, Sushi,62
Western,2,,, Japanese,60
Finger Food,78,,,Healthy Food,56
British,12,,,Indian,51
Cuban,1,,,Seafood,49
Australian,1,,, Steak,48
Turkish,7,,, Sandwich,46
Pakistani,8,,, Ice Cream,45
Continental,235,,, Bar Food,30
Goan,10,,, Lebanese,30
South Indian,262,,,Thai,29
African,2,,,Mediterranean,28
North Indian,2992,,, Tea,27
Rajasthani,6,,, Finger Food,27
Mughlai,215,,,Lebanese,25
Ice Cream,178,,,Breakfast,24
Street Food,236,,, Vegetarian,23
Mithai,246,,,Brazilian,22
Maharashtrian,6,,,Tibetan,22
Modern Indian,14,,, Arabian,22
Biryani,112,,, Tibetan,21
Parsi,6,,, Southern,19
Raw Meats,110,,,Bengali,18
Kashmiri,13,,,BBQ,18
South American,2,,, Indian,17
Persian,1,,, Breakfast,17
Bengali,18,,,Tea,17
Healthy Food,56,,, Juices,17
Portuguese,5,,, Middle Eastern,17
Burmese,4,,, Tex-Mex,17
Awadhi,5,,, Hyderabadi,16
Tibetan,22,,, Tapas,16
Drinks Only,2,,, Malaysian,15
Lucknowi,6,,, Grill,15
Gujarati,7,,, French,15
North Eastern,5,,, BBQ,15
Oriya,2,,,Modern Indian,14
Hyderabadi,10,,, Rajasthani,14
Bihari,4,,,French,14
Afghani,7,,,Kerala,14
Kerala,14,,,Steak,13
Tex-Mex,1,,,International,13
Andhra,3,,,Sushi,13
Malwani,1,,,Kashmiri,13
Cuisine Varies,1,,,Juices,12
Malaysian,6,,,British,12
Assamese,3,,, Bengali,11
Middle Eastern,3,,, Spanish,11
Nepalese,4,,,Goan,10
Naga,6,,,Hyderabadi,10
Salad,2,,, Vietnamese,10
Charcoal Grill,1,,, Coffee and Tea,10
Peranakan,1,,,Kebab,10
Sunda,3,,,Bar Food,9
Indonesian,1,,,Coffee and Tea,9
Asian Fusion,2,,,Korean,9
Taiwanese,2,,, Greek,8
Kiwi,1,,,Pakistani,8
Contemporary,4,,, Cajun,8
Scottish,1,,, Western,8
Ramen,1,,, Modern Australian,8
Argentine,1,,, Indonesian,8
Grill,2,,, Goan,8
Sri Lankan,1,,, Korean,8
Kebab,10,,, Turkish,8
Patisserie,1,,, Southwestern,7
World Cuisine,3,,, Kashmiri,7
