unique ,u1,u2,u3,u4,,v1,v2,v3,v4,sum,,number of restaurant ,percentage 
French,French, Japanese, Desserts,,,14,0,0,0,14,,9551,15%
Japanese,Japanese,,,,,72,0,0,0,72,,,75%
Seafood,Seafood, Asian, Filipino, Indian,,49,0,0,0,49,,,51%
Chinese,Japanese, Sushi,,,,855,0,0,0,855,,,895%
Asian,Japanese, Korean,,,,77,0,0,0,77,,,81%
European,Chinese,,,,,62,0,0,0,62,,,65%
Filipino,Asian, European,,,,6,0,0,0,6,,,6%
American,Seafood, Filipino, Asian, European,,278,0,0,0,278,,,291%
Korean,European, Asian, Indian,,,9,0,0,0,9,,,9%
Cafe,Filipino,,,,,617,0,0,0,617,,,646%
Italian,Filipino, Mexican,,,,234,0,0,0,234,,,245%
Fast Food,American, Ice Cream, Desserts,,,672,0,0,0,672,,,704%
Bakery,Filipino, Mexican,,,,621,0,0,0,621,,,650%
Brazilian,Filipino,,,,,22,0,0,0,22,,,23%
Pizza,Korean,,,,,232,0,0,0,232,,,243%
Arabian,Cafe, American, Italian, Filipino,,5,0,0,0,5,,,5%
Bar Food,Italian, Pizza,,,,9,0,0,0,9,,,9%
Mexican,Filipino,,,,,62,0,0,0,62,,,65%
International,Cafe, Korean, Desserts,,,13,0,0,0,13,,,14%
Peruvian,Cafe, Bakery, American, Italian,,1,0,0,0,1,,,1%
Desserts,Seafood, American, Mediterranean, Japanese,,150,0,0,0,150,,,157%
Juices,American, Asian, Italian, Seafood,,12,0,0,0,12,,,13%
Beverages,Fast Food, French,,,,79,0,0,0,79,,,83%
Lebanese,Cafe,,,,,25,0,0,0,25,,,26%
Burger,Bakery,,,,,116,0,0,0,116,,,121%
Steak,Brazilian,,,,,13,0,0,0,13,,,14%
Indian,Pizza,,,,,51,0,0,0,51,,,53%
Sushi,Japanese,,,,,13,0,0,0,13,,,14%
BBQ,Arabian,,,,,18,0,0,0,18,,,19%
Gourmet Fast Food,Japanese,,,,,1,0,0,0,1,,,1%
,Brazilian, Cafe,,,,0,0,0,0,0,,,0%
Coffee and Tea,Italian,,,,,9,0,0,0,9,,,9%
Southern,Pizza,,,,,5,0,0,0,5,,,5%
Breakfast,Bar Food, Brazilian,,,,24,0,0,0,24,,,25%
Sandwich,Mexican, Grill,,,,5,0,0,0,5,,,5%
German,International,,,,,4,0,0,0,4,,,4%
Vietnamese,Peruvian, Latin American,,,,3,0,0,0,3,,,3%
Thai,American, Grill,,,,29,0,0,0,29,,,30%
Modern Australian,Seafood,,,,,3,0,0,0,3,,,3%
Latin American,International,,,,,7,0,0,0,7,,,7%
Mediterranean,Italian,,,,,28,0,0,0,28,,,29%
Tea,American, Burger,,,,17,0,0,0,17,,,18%
Greek,Seafood, Bar Food, Brazilian,,,6,0,0,0,6,,,6%
Spanish,Desserts, Cafe,,,,4,0,0,0,4,,,4%
Hawaiian,Juices, Healthy Food,,,,5,0,0,0,5,,,5%
Irish,Beverages, Bar Food, Fast Food,,,1,0,0,0,1,,,1%
New American,Lebanese,,,,,2,0,0,0,2,,,2%
Caribbean,Burger,,,,,4,0,0,0,4,,,4%
Cajun,Brazilian, Bar Food,,,,1,0,0,0,1,,,1%
Pub Food,Brazilian, Healthy Food, Juices, Pizza,,1,0,0,0,1,,,1%
Tapas,Brazilian, Bar Food,,,,2,0,0,0,2,,,2%
Singaporean,Brazilian,,,,,2,0,0,0,2,,,2%
Western,Brazilian,,,,,2,0,0,0,2,,,2%
Finger Food,Italian,,,,,78,0,0,0,78,,,82%
British,Japanese,,,,,12,0,0,0,12,,,13%
Cuban,Bakery, Sandwich, Brazilian,,,1,0,0,0,1,,,1%
Australian,Brazilian,,,,,1,0,0,0,1,,,1%
Turkish,Brazilian, Seafood,,,,7,0,0,0,7,,,7%
Pakistani,Bar Food, Brazilian,,,,8,0,0,0,8,,,8%
Continental,Brazilian,,,,,235,0,0,0,235,,,246%
