Restaurant Name,Has Online delivery,UNIQUE,Count,percentage,Aggregate rating,average
Le Petit Souffle,No,Yes,2451,26%,4.8,3.248837209
Izakaya Kikufuji,No,No,7100,74%,4.5,2.465295775
Heat - Edsa Shangri-La,No,SUM OF COUNT,9551,,4.4,
Ooma,No,,,,4.9,
Sambo Kojin,No,,,,4.8,
Din Tai Fung,No,,,,4.4,
Buffet 101,No,,,,4,
Vikings,No,,,,4.2,
Spiral - Sofitel Philippine Plaza Manila,No,,,,4.9,
Locavore,No,,,,4.8,
Silantro Fil-Mex,No,,,,4.9,
Mad Mark's Creamery & Good Eats,No,,,,4.2,
Silantro Fil-Mex,No,,,,4.8,
Guevarra's,No,,,,4.2,
Sodam Korean Restaurant,No,,,,4.3,
Cafe Arabelle,No,,,,3.6,
Nonna's Pasta & Pizzeria,No,,,,4,
Balay Dako,No,,,,4.5,
Hobing Korean Dessert Cafe,No,,,,4.5,
Wildflour Cafe + Bakery,No,,,,4.4,
NIU by Vikings,No,,,,4.7,
The Food Hall by Todd English,No,,,,4.5,
Chez Michou,No,,,,3,
Caf?? Daniel Briand,No,,,,3.8,
Casa do Biscoito Mineiro,No,,,,3.7,
Maori,No,,,,3.8,
Pizza ?? Bessa,No,,,,3.2,
Sushi Loko,No,,,,3.1,
Beirute,No,,,,3.7,
New Koto,No,,,,3.7,
Sandubas Caf??,No,,,,0,
Villa Tevere,No,,,,4.1,
Rovereto,No,,,,3.1,
Buena Carne,No,,,,3.6,
Taco Pep,No,,,,4.3,
Coco Bambu,No,,,,4.2,
Tayp??,No,,,,3.6,
Outback Steakhouse,No,,,,4,
Manzu??,No,,,,3.2,
Coco Bambu,No,,,,4.9,
Gero,No,,,,3.3,
Brazilian American Burgers,No,,,,3.6,
Pesqueiro Eco Gourmet,No,,,,4,
Confeitaria Colombo,No,,,,4.8,
Bibi,No,,,,4.7,
Cervantes,No,,,,4.5,
Amir,No,,,,4.2,
TT Burger,No,,,,4.8,
Braseiro da G??vea,No,,,,4.9,
Balada Mix,No,,,,4.6,
Garota de Ipanema,No,,,,4.9,
Zaz?? Bistr?? Tropical,No,,,,4.6,
Fil?? de Ouro,No,,,,4.3,
D.O.C Ristorante,No,,,,4,
Sushi Leblon,No,,,,4.6,
Talho Capixaba,No,,,,4.4,
Leme Light,No,,,,4.2,
Shirley,No,,,,4.2,
Quiosque Chopp Brahma,No,,,,0,
Apraz?_vel,No,,,,4.7,
Aconchego Carioca,No,,,,4.6,
Garota de Ipanema,No,,,,4.3,
Cantina Famiglia Mancini,No,,,,4.5,
Templo da Carne - Marcos Bassi,No,,,,4.4,
Gopala Hari,No,,,,3.1,
Jiquitaia,No,,,,4.1,
Skye - Hotel Unique,No,,,,4.8,
Les 3 Brasseurs,No,,,,4.6,
Red Steak & Burger,No,,,,3.9,
Cantinho da Gula,No,,,,0,
Paris 6 Classique,No,,,,3.4,
Kawa Sushi,No,,,,3.5,
A Figueira Rubaiyat,No,,,,4.3,
Kinoshita,No,,,,3.9,
Meats,No,,,,4.3,
Paribar,No,,,,4.3,
Terra?_o It??lia,No,,,,4.4,
Divino Fog??o,No,,,,0,
Super Grill,No,,,,0,
Esquina Mocot?_,No,,,,4.4,
Veloso,No,,,,4.6,
Sainte Marie Gastronomia,No,,,,4.1,
Austin's BBQ and Oyster Bar,No,,,,3.3,
BJ's Country Buffet,No,,,,3.3,
Cookie Shoppe,No,,,,3.4,
El Vaquero Mexican Restaurant,No,,,,3.4,
Elements Coffee Co - Northwest,No,,,,3.4,
Pearly's Famous Country Cookng,No,,,,3.4,
Chick-fil-A,No,,,,3.5,
Guang Zhou Chinese Restaurant,No,,,,3.9,
Harvest Moon,No,,,,3.7,
Henry Campbell's Steakhouse,No,,,,3.5,
Hong Kong Cafe,No,,,,3.6,
House of China Restaurant II,No,,,,3.8,
Jimmie's Hot Dogs,No,,,,3.9,
Locos Grill & Pub,No,,,,3.5,
Longhorn Steakhouse,No,,,,3.5,
