Restaurant Name,Aggregate rating,Rating Range,Count,,Votes,Average
Le Petit Souffle,4.8,0–1,2148,,314,156.9097477
Izakaya Kikufuji,4.5,1–2,3,,591,
Heat - Edsa Shangri-La,4.4,2–3,1430,,270,
Ooma,4.9,3–4,4590,,365,
Sambo Kojin,4.8,4–5,1380,,229,
Din Tai Fung,4.4,,,,336,
Buffet 101,4,,,,520,
Vikings,4.2,,,,677,
Spiral - Sofitel Philippine Plaza Manila,4.9,,,,621,
Locavore,4.8,,,,532,
Silantro Fil-Mex,4.9,,,,1070,
Mad Mark's Creamery & Good Eats,4.2,,,,488,
Silantro Fil-Mex,4.8,,,,294,
Guevarra's,4.2,,,,458,
Sodam Korean Restaurant,4.3,,,,223,
Cafe Arabelle,3.6,,,,29,
Nonna's Pasta & Pizzeria,4,,,,72,
Balay Dako,4.5,,,,211,
Hobing Korean Dessert Cafe,4.5,,,,118,
Wildflour Cafe + Bakery,4.4,,,,392,
NIU by Vikings,4.7,,,,535,
The Food Hall by Todd English,4.5,,,,618,
Chez Michou,3,,,,6,
Caf?? Daniel Briand,3.8,,,,9,
Casa do Biscoito Mineiro,3.7,,,,11,
Maori,3.8,,,,11,
Pizza ?? Bessa,3.2,,,,11,
Sushi Loko,3.1,,,,10,
Beirute,3.7,,,,8,
New Koto,3.7,,,,5,
Sandubas Caf??,0,,,,2,
Villa Tevere,4.1,,,,12,
Rovereto,3.1,,,,9,
Buena Carne,3.6,,,,9,
Taco Pep,4.3,,,,29,
Coco Bambu,4.2,,,,17,
Tayp??,3.6,,,,5,
Outback Steakhouse,4,,,,10,
Manzu??,3.2,,,,6,
Coco Bambu,4.9,,,,30,
Gero,3.3,,,,8,
Brazilian American Burgers,3.6,,,,9,
Pesqueiro Eco Gourmet,4,,,,7,
Confeitaria Colombo,4.8,,,,29,
Bibi,4.7,,,,24,
Cervantes,4.5,,,,29,
Amir,4.2,,,,11,
TT Burger,4.8,,,,19,
Braseiro da G??vea,4.9,,,,40,
Balada Mix,4.6,,,,21,
Garota de Ipanema,4.9,,,,49,
Zaz?? Bistr?? Tropical,4.6,,,,21,
Fil?? de Ouro,4.3,,,,14,
D.O.C Ristorante,4,,,,5,
Sushi Leblon,4.6,,,,25,
Talho Capixaba,4.4,,,,13,
Leme Light,4.2,,,,7,
Shirley,4.2,,,,8,
Quiosque Chopp Brahma,0,,,,1,
Apraz?_vel,4.7,,,,44,
Aconchego Carioca,4.6,,,,24,
Garota de Ipanema,4.3,,,,10,
Cantina Famiglia Mancini,4.5,,,,49,
Templo da Carne - Marcos Bassi,4.4,,,,17,
Gopala Hari,3.1,,,,5,
Jiquitaia,4.1,,,,15,
Skye - Hotel Unique,4.8,,,,59,
Les 3 Brasseurs,4.6,,,,30,
Red Steak & Burger,3.9,,,,5,
Cantinho da Gula,0,,,,0,
Paris 6 Classique,3.4,,,,73,
Kawa Sushi,3.5,,,,9,
A Figueira Rubaiyat,4.3,,,,39,
Kinoshita,3.9,,,,12,
Meats,4.3,,,,68,
Paribar,4.3,,,,46,
Terra?_o It??lia,4.4,,,,37,
Divino Fog??o,0,,,,2,
Super Grill,0,,,,2,
Esquina Mocot?_,4.4,,,,22,
Veloso,4.6,,,,58,
Sainte Marie Gastronomia,4.1,,,,11,
Austin's BBQ and Oyster Bar,3.3,,,,35,
BJ's Country Buffet,3.3,,,,25,
Cookie Shoppe,3.4,,,,34,
El Vaquero Mexican Restaurant,3.4,,,,45,
Elements Coffee Co - Northwest,3.4,,,,26,
Pearly's Famous Country Cookng,3.4,,,,36,
