Restaurant Name,is chain,Aggregate rating,Votes
Le Petit Souffle,No,4.8,314
Izakaya Kikufuji,No,4.5,591
Heat - Edsa Shangri-La,No,4.4,270
Ooma,No,4.9,365
Sambo Kojin,No,4.8,229
Din Tai Fung,Yes,4.4,336
Buffet 101,No,4,520
Vikings,No,4.2,677
Spiral - Sofitel Philippine Plaza Manila,No,4.9,621
Locavore,No,4.8,532
Silantro Fil-Mex,Yes,4.9,1070
Mad Mark's Creamery & Good Eats,No,4.2,488
Silantro Fil-Mex,Yes,4.8,294
Guevarra's,No,4.2,458
Sodam Korean Restaurant,No,4.3,223
Cafe Arabelle,No,3.6,29
Nonna's Pasta & Pizzeria,No,4,72
Balay Dako,No,4.5,211
Hobing Korean Dessert Cafe,No,4.5,118
Wildflour Cafe + Bakery,No,4.4,392
NIU by Vikings,No,4.7,535
The Food Hall by Todd English,No,4.5,618
Chez Michou,No,3,6
Caf?? Daniel Briand,No,3.8,9
Casa do Biscoito Mineiro,No,3.7,11
Maori,No,3.8,11
Pizza ?? Bessa,No,3.2,11
Sushi Loko,No,3.1,10
Beirute,No,3.7,8
New Koto,No,3.7,5
Sandubas Caf??,No,0,2
Villa Tevere,No,4.1,12
Rovereto,No,3.1,9
Buena Carne,No,3.6,9
Taco Pep,No,4.3,29
Coco Bambu,Yes,4.2,17
Tayp??,No,3.6,5
Outback Steakhouse,No,4,10
Manzu??,No,3.2,6
Coco Bambu,Yes,4.9,30
Gero,No,3.3,8
Brazilian American Burgers,No,3.6,9
Pesqueiro Eco Gourmet,No,4,7
Confeitaria Colombo,No,4.8,29
Bibi,No,4.7,24
Cervantes,No,4.5,29
Amir,No,4.2,11
TT Burger,No,4.8,19
Braseiro da G??vea,No,4.9,40
Balada Mix,No,4.6,21
Garota de Ipanema,Yes,4.9,49
Zaz?? Bistr?? Tropical,No,4.6,21
Fil?? de Ouro,No,4.3,14
D.O.C Ristorante,No,4,5
Sushi Leblon,No,4.6,25
Talho Capixaba,No,4.4,13
Leme Light,No,4.2,7
Shirley,No,4.2,8
Quiosque Chopp Brahma,No,0,1
Apraz?_vel,No,4.7,44
Aconchego Carioca,No,4.6,24
Garota de Ipanema,Yes,4.3,10
Cantina Famiglia Mancini,No,4.5,49
Templo da Carne - Marcos Bassi,No,4.4,17
Gopala Hari,No,3.1,5
Jiquitaia,No,4.1,15
Skye - Hotel Unique,No,4.8,59
Les 3 Brasseurs,No,4.6,30
Red Steak & Burger,No,3.9,5
Cantinho da Gula,No,0,0
Paris 6 Classique,No,3.4,73
Kawa Sushi,No,3.5,9
A Figueira Rubaiyat,No,4.3,39
Kinoshita,No,3.9,12
Meats,No,4.3,68
Paribar,No,4.3,46
Terra?_o It??lia,No,4.4,37
Divino Fog??o,No,0,2
Super Grill,No,0,2
Esquina Mocot?_,No,4.4,22
Veloso,No,4.6,58
Sainte Marie Gastronomia,No,4.1,11
Austin's BBQ and Oyster Bar,No,3.3,35
BJ's Country Buffet,No,3.3,25
Cookie Shoppe,No,3.4,34
El Vaquero Mexican Restaurant,No,3.4,45
Elements Coffee Co - Northwest,No,3.4,26
Pearly's Famous Country Cookng,No,3.4,36
Chick-fil-A,Yes,3.5,67
Guang Zhou Chinese Restaurant,No,3.9,141
Harvest Moon,No,3.7,147
Henry Campbell's Steakhouse,No,3.5,51
Hong Kong Cafe,No,3.6,88
House of China Restaurant II,No,3.8,153
Jimmie's Hot Dogs,No,3.9,160
Locos Grill & Pub,No,3.5,57
Longhorn Steakhouse,No,3.5,58
Mikata Japanese Steakhouse,No,3.6,115
Shogun Japanese Steak House,No,3.5,51
The Catch Seafood Room & Oyster Bar,No,3.8,250
Villa Gargano,No,3.7,117
3 Squares Diner,No,3.4,20
Whitebull Hotel,No,3.5,25
Last Resort Grill,No,4.5,1821
Mama's Boy Restaurant,No,4.5,849
Sr. Sol 1,No,4.6,917
Choo Choo Eastside,No,3.9,439
The Grill,No,3.7,289
Big City Bread Cafe,No,4.3,558
Clocked,No,4.2,613
DePalma's Italian Cafe - Downtown,No,4,353
DePalma's Italian Cafe - East Side,No,4.1,387
Five & Ten,No,4.3,755
Grit,No,4.2,800
Ike & Jane,No,4.1,350
La Dolce Vita Ristorante,No,4.1,464
Shokitini,No,4.2,550
Taqueria Del Sol,No,4.1,543
The National,Yes,4.1,465
The Royal Peasant,No,4.4,546
Transmetropolitan,No,4.4,1098
Trappeze Pub,No,4.2,579
Viva! Argentine Cuisine,No,4.1,374
Miyabi Kyoto Japanese Steak House,No,4.6,717
Rae's Coastal Cafe,No,4.9,548
The Bee's Knees,No,4.5,631
Boll Weevil Cafe,No,3.9,372
Farmhaus Burger,No,3.9,201
Manuel's Bread Cafe,No,3.8,332
Sconyers Bar B Que,No,3.5,304
