is chain,Yes,
,,
Restaurant Name,Average of Aggregate rating,Average of Votes
Truffles,3.95,4841
Joey's Pizza,4.25,3903.5
AB's - Absolute Barbecues,4.825,3350
Big Chill,4.475,2713.25
Big Yellow Door,4.266666667,2503.666667
Out Of The Box,3.85,2450
Saravana Bhavan,4.133333333,2412.666667
Olive Bistro,4.15,1854
Talaga Sampireun,4.9,1838
SpiceKlub,4.3,1825.5
SodaBottleOpenerWala,4.066666667,1791.333333
Wood Box Cafe,3.95,1724.5
Farzi Cafe,4.366666667,1683
Chili's,4.58,1631.2
AB's Absolute Barbecues,4.85,1575.5
The Flying Saucer Cafe,4.1,1572.5
Naturals Ice Cream,4.8,1547
The Cheesecake Factory,4.65,1505
Raasta,3.85,1471.5
Pirates of Grill,4,1426.4
Tea Villa Cafe,3.925,1291.75
Imperfecto,3.55,1273
QD's Restaurant,4.033333333,1178.666667
Hard Rock Cafe,4.2,1163.666667
Smoke House Deli,4.05,1146
Punjab Grill,4.34,1084.8
Barbeque Nation,4.353846154,1082.384615
The Chatter House,4.1,1068
Desi Vibes,3.9,1014.333333
Oh! Calcutta,4.1,999.5
Ceviche Tapas Bar & Restaurant,4.25,996.5
Bombay Brasserie,4.4,992
Made In Punjab,4.05,958.5
Effingut Brewerkz,4.3,953
Onesta,4.5,940.3333333
Cafe Delhi Heights,4.033333333,903.6666667
Garam Dharam,3.55,902.5
The Junkyard Cafe,3.85,882.5
Mamagoto,4.166666667,877.6666667
Pebble Street,3.95,851.5
Imly,3.9,844.5
Naivedyam,3.866666667,827
Nando's,3.14,809
Caffe Tonino,3.85,802
Shake Square,3.65,797
Salt,4.25,789.5
Punjabi by Nature,3.666666667,776
Ichiban,4.1,766.5
Teddy Boy,3.75,763.5
Whipped,4.2,748.5
Palmshore,4.3,742.6666667
TGI Friday's,3.85,726.1666667
Sbarro,3.4,704
Paradise,3.7,687
Silantro Fil-Mex,4.85,682
Jungle Jamboree,3.825,676.25
Khan Chacha,2.471428571,658.5714286
Dishoom,4.6,634.5
Amici Cafe,3.7,632
Bikkgane Biryani,3.966666667,627.3333333
Matchbox,4.4,607
Indian Coffee House,3.533333333,603.6666667
Town Hall,3.65,599.5
Berco's,3.166666667,599.3333333
Nizam's Kathi Kabab,3.65,589
China Garden,3.85,579.5
The Crab Shack,3.95,556
Zaffran,4.166666667,553.6666667
Not Just Paranthas,3.333333333,549
The Big Chill Cakery,4.45,529.5
Karim's,3.030769231,529.0769231
Asian Haus,4,523
The Great Kabab Factory,3.5,519
Caffe 9,4.2,515
Din Tai Fung,4.35,498.5
Gola Sizzlers,3.3,492
Kake Da Hotel,3.28,465.4
Zizo,3.866666667,457
San Carlo,4.25,446.5
Mocha,4.185714286,444.4285714
The Barbeque Company,4,434.5
Gazebo,4.166666667,426.3333333
Mainland China,3.716666667,423.5
Krispy Kreme,3.933333333,419
Suruchi,3.6,418
Embassy,3.25,416
Baker Street,3.85,415.5
Munch Nation,3.9,411.5
Wendy's,3.8,407
Chili's Grill & Bar,3.95,406.5
Baking Bad,3.75,397.5
Starbucks,3.805555556,396.6111111
Harry's Bar + Cafe,3.65,393.5
Rhinehart's Oyster Bar,4,391
Deez Biryani & Kebabs,3.65,383
Cinnabon,4,378.5
Smaaash,3.95,371.5
Khidmat,3.5,370.5
Natural Ice Cream,4.5,366
Swagath,3.62,363.8
Circus,3.95,359.5
Eggers Madhouse,3.85,349
The Fisherman's Wharf,4.266666667,340.6666667
Pita Pit,3.7,340.6
Changezi Chicken,3.5,339
Kake Di Hatti,3.55,339
The National,4.15,338.5
Italiano,3.3,337
10 Downing Street,4,335
Perch Wine & Coffee Bar,4.25,332.5
The Beer Cafe,3.016666667,331.1666667
Gung The Palace,3.95,315
Granite City Food & Brewery,4.05,314
Mellow Mushroom,4.25,312.5
The Cafe,4.35,295
Happy Hakka,3.86,294.2
Side Wok,3.866666667,291.6666667
Burger King,3.40625,288.5625
Cafe Turtle,3.433333333,287
Nanking,3.65,284.5
Haldiram's,3.625,282.8125
Bhimsain's Bengali Sweet House,3.15,282
Captain Grub,3.54,281.6
Instapizza,3.8,281.2
Pind Balluchi,2.63,279.1
Cafe Brown Sugar,3.65,275.5
Taco Bell,3.866666667,275
Red Mango,3.65,275
Kebab Gali,3.9,272
Dunkin' Donuts,3.136363636,271.5454545
Theos,3.8,264.5
Applebee's,3.9,264.25
Defence Bakery,3.7,263.6666667
Basil Tree,2.9,263.5
Bijoli Grill,3.7,262.5
DCK- Dana Choga's Kitchen,3.125,259.25
RollsKing,3.7,259.1428571
MR.D - Deliciousness Delivered,3.4,257.5
Kolkata Biryani House,3.1,256.5
Au Bon Pain,3.25,255.5
Crazy Noodles,1.8,254.5
Burger Singh,3.433333333,252.3333333
Carl's Jr.,3.65,251.5
The Breakfast Club,4,251
Delhi Club House,4,248.5
Fish Streat,3.7,241.5
Nooba,3.7,240.5
Manohar Dairy And Restaurant,4.25,240.5
Rollmaal,3.4,239.6666667
Kaveri Restaurant And Caterers,3.7,236
Taste Of China,3.75,236
Twigly,4.55,235.5
Nazeer Foods,3.328571429,232.5714286
Invitation,1.8,230
Hungry - I,3.15,228.5
Cafe Diva,3.85,228
The Midnight Heroes,3.66,222.2
The Yellow Chilli,3.671428571,218
Yo! China,2.988888889,216.7777778
Wai Yu Mun Ching,3.55,216.5
The Coffee Bean & Tea Leaf,3.425,213.75
Burgrill,4.45,213.5
Tipu Sultan,3.85,213.5
Bikanervala,3.192857143,212.8571429
Om Sweets & Snacks,3.133333333,212.6666667
Sagar Ratna,2.963157895,212.5263158
Hawkers,3.05,212
Metro Dhaba,1.9,209.5
L'Opera,3.82,209.2
Nutritious Nation,3.55,208
Speedy Chow,3.466666667,207.6666667
The Creamery,4.05,207.5
HuHot Mongolian Grill,3.766666667,206
Cafe Coffee Day The Square,3.65,205
Adyar Ananda Bhavan,3.15,203.5
New Town Cafe - Park Plaza,3.9,202
Nathu's Sweets,2.72,200.6
Arabian Nites,3.65,198.5
Chokola,3.45,198.5
D?_ner Grill,3.8,196.6666667
Kamal's,3.25,194.5
Colonel's Kababz,3.2,191.5
The Manhattan FISH MARKET,4,188
Slice of Italy,2.6625,187
Qureshi's Kabab Corner,3.575,186
Barbeque Ville,4.1,186
Aureo Dine & Bake House,1.75,185
Biryani By Kilo,4,184.3333333
Wok On Fire,3.8,180.6666667
Big Wong XL,3.95,180.5
Biryani Art,3.7,176
Dilli BC,4.25,175.5
Anjlika Pastry Shop,3.75,174.5
Underdoggs Sports Bar & Grill,4.35,173
Chaophraya,4.166666667,168.3333333
Burger Hut,3.2,167.5
The Mad Teapot/The Wishing Chair,4.25,167
Beliram Degchiwala,3.5,166.5
Jamie's Italian,4.05,165.75
Pizza Hut,3.32,165.3666667
Habibi,3.4,165
Gymkhana,4.7,164
Americana Kitchen and Bar,2.6,163
Spice Route,3.5,159.5
Fat Lulu's,3.75,159.5
Ashoka Restaurant,3.55,159
Paapi Paet,3.45,159
Kamboj's,2.6,157.5
Sandwich King,3.65,157
Texas Roadhouse,3.86,156.6
Litti.In,3.4,156
Chai Point,3.1,155.75
Angels in my Kitchen,3.4125,155.125
Bun Intended,3.95,153.75
All About Food,1.95,152.5
Bon Bon Pastry Shop,3.3,152
Alaturka,2.95,151
Comesum,2.35,150
Bake N Shake,4.2,148.6666667
Mysore Cafe,3.6,145.5
BTW,3.285714286,142.5714286
D?_vero??lu,4.3,141.5
Khana Khazana,1.85,140.5
Blue Tokai Coffee Roasters,3.85,139.5
Open Oven,3.475,138.25
Chaayos,3.538888889,137.3888889
Otik Cake Shop,3.65,135.5
Mad Over Donuts,3.74,135.2
Urban Punjab,3.433333333,134.3333333
Chalte Firte Momos & Special Foods,3.35,133.5
La Pino'z Pizza,3.966666667,131.3333333
KFC,2.744444444,129.5
Biryani Blues,3.666666667,129.3333333
Goosebumps,3.8,129
Chutneez Restaurant Lounge & Bar,2.55,128
Hong Kong Express,3.475,127.5
Pho King Awesome,2.05,127
Nite Bites,3.175,126.75
Big Fat Sandwich,3.2,126.5
New Kadimi,2.9,126
Hwealthcafe,3.8,126
Bakers Oven,3.6,126
Moti Mahal Delux- Legendary Culinary,3.6,124.5
Drifters Cafe,4,124
Twisted Tacos,3.6,121
Beijing Street,3.7,121
Baker's Stop,3.75,120.5
Sibang Bakery,3.7,120
Nirula's,2.65,119.5
Drool Waffles,3.65,118.5
FreshMenu,3.725,116.75
Little Italy,3.55,113.5
Oberoi Biryani,2.75,112.5
Dabba Meat,3.25,112
Black Pepper,2.05,111.5
McDonald's,3.339583333,110.2291667
The Artful Baker,2,110
Green Leaf,3.25,110
First Eat,3.8,109.5
Finger Licious,2.2,108.3333333
Puri Bakers,3.725,108
Southy,2.716666667,107.1666667
The Chocolate Room,3.5,107
Arabian Delites,3.6,107
Timboo Cafe,4.2,106.5
Little Chef,3.4,106
Shyam Sweets,3.45,104.5
Stop My Starvation,4.3,104.5
Food Scouts,4.433333333,104
Fast Trax,3.3,103.5
Tikka Town,3.033333333,103
Mithaas,3.05,102.5
Wow! Momo,2.754545455,101.7272727
The Pint Room,3.7,101.5
Doughlicious,3.5,101.3333333
The Golden Dragon,2.833333333,101.3333333
Hot Cherries,3.6,100
Chowringhee,2.5625,98.125
Patiala Shahi,3.45,98
Subway,2.907936508,97.20634921
Chick-fil-A,3.7,96
Bengal Sweet Corner,2.8,96
Say Cheese,2.7,96
Mr. Brown,3.866666667,95
Moon Bite,3.2,95
Big Dragon,3.35,94.5
Jahangeer Foods,3.25,94
Dunkin Donuts,4,94
Crudo Juicery,4.3,93.5
Yumm Biryani,3.2,93.5
Taste of India,2.1,93
Chawla's,3.35,92.5
Nazeer Delicacies,3.3,92
Goli Vada Pav No. 1,2.75,91.33333333
Captain Bill$ Deliverz,2.533333333,91
Tamura,3.4,91
Let's Noodle,1.3,91
Baked Buns,3.4,91
