Restaurant Name,Aggregate rating,Votes,correl,
Toit,4.8,10934,0.313690584,(a weak positive correlation)
Truffles,4.7,9667,,
Hauz Khas Social,4.3,7931,,
Peter Cat,4.3,7574,,
AB's - Absolute Barbecues,4.6,6907,,
Barbeque Nation,4.9,5966,,
Big Brewsky,4.5,5705,,
AB's - Absolute Barbecues,4.9,5434,,
The Black Pearl,4.1,5385,,
BarBQ,4.2,5288,,
Saravana Bhavan,4.3,5172,,
Joey's Pizza,4,5145,,
Big Chill,4.5,4986,,
Warehouse Cafe,3.7,4914,,
Karim's,4,4689,,
Mocambo,3.5,4464,,
Farzi Cafe,4.3,4385,,
Gulati,4.4,4373,,
Ricos,4.3,4085,,
Big Yellow Door,4.3,3986,,
Barbeque Nation,4.4,3848,,
Out Of The Box,3.7,3697,,
Wenger's,4.3,3591,,
Downtown - Diners & Living Beer Cafe,4.4,3569,,
Glen's Bakehouse,4,3533,,
Rajinder Da Dhaba,4.3,3530,,
The All American Diner,4.1,3495,,
The Vault Cafe,3.9,3413,,
Exotica,4.3,3374,,
SpiceKlub,4.2,3370,,
Big Yellow Door,4.2,3311,,
Mirchi And Mime,4.9,3244,,
Cha Bar,3.9,3206,,
Barbeque Nation,4.1,3164,,
Bern's Steak House,4.7,3157,,
Datz,4.7,3074,,
My Bar Headquarters,3.7,3010,,
Andhra Bhavan,4.2,3010,,
The Flying Saucer Cafe,4.3,3002,,
Khan Chacha,3.7,2860,,
Barbeque Nation,4.5,2847,,
SodaBottleOpenerWala,4,2843,,
Bukhara - ITC Maurya,4.4,2826,,
Pirates of Grill,4.1,2806,,
Big Chill,4.4,2777,,
QD's Restaurant,3.9,2724,,
Parikrama - The Revolving Restaurant,3.8,2689,,
Joey's Pizza,4.5,2662,,
Berco's,3.9,2639,,
Naturals Ice Cream,4.9,2620,,
Lord of the Drinks,3.9,2589,,
Santa's Fantasea,4.2,2584,,
Chili's,4.6,2553,,
Lodi - The Garden Restaurant,4.2,2549,,
Pirates of Grill,4.1,2514,,
AB's Absolute Barbecues,4.8,2510,,
Le Plaisir,4.8,2510,,
My Bar Lounge & Restaurant,2.7,2460,,
The Cheesecake Factory,4.7,2424,,
Starbucks,4.1,2417,,
Sultans of Spice,4.1,2416,,
The Wine Company,2.4,2412,,
The Fatty Bao - Asian Gastro Bar,4.7,2369,,
Ambrosia Bliss,4,2333,,
Texas de Brazil,4.6,2324,,
Pind,4,2272,,
The Town House Cafe,4,2252,,
Imperfecto,3.7,2247,,
McGuire's Irish Pub & Brewery,4.9,2238,,
The Irish House,4.4,2224,,
Olive Bistro,4.4,2218,,
Cafe Lota,4.5,2213,,
Talaga Sampireun,4.9,2212,,
Britto's Bar & Restaurant,4.3,2191,,
Kake Da Hotel,3.5,2185,,
Diggin,4.2,2131,,
Manhattan Brewery & Bar Exchange,4.6,2093,,
Burger King,3.8,2093,,
The Fusion Kitchen,4.7,2083,,
The Rolling Pin,3.9,2076,,
Tea Villa Cafe,4.1,2040,,
Desi Vibes,3.8,2019,,
Chew - Pan Asian Cafe,3.9,2003,,
The Ravenous Pig,4.4,1998,,
AMPM Caf?? & Bar,4.1,1980,,
Punjab Grill,4.2,1971,,
Wood Box Cafe,3.8,1970,,
Odeon Social,4.1,1959,,
Hard Rock Cafe,4.1,1949,,
Farzi Cafe,4.4,1942,,
Indian Accent - The Manor,4.9,1934,,
Chili's,4.7,1932,,
SodaBottleOpenerWala,4.2,1914,,
Vapour Pub & Brewery,3.7,1902,,
Nando's,3.7,1891,,
Punjab Grill,4.3,1887,,
Raasta,3.9,1878,,
Saravana Bhavan,4.2,1869,,
Taco Bus,4.5,1868,,
Route 04,3.5,1863,,
Heart Cup Coffee,4.2,1859,,
Fork You,3.8,1845,,
Cafe Delhi Heights,4,1840,,
United Coffee House,4.1,1838,,
Summer House Cafe,4.1,1823,,
Last Resort Grill,4.5,1821,,
Ardor 2.1,4.1,1821,,
Kaidi Kitchen,4,1820,,
That Madras Place,4.2,1810,,
Molecule Air Bar,4.2,1809,,
The Olde Pink House,4.4,1803,,
Tamasha,3.7,1801,,
6 Ballygunge Place,4.4,1778,,
Nizam's Kathi Kabab,3.8,1761,,
Unplugged Courtyard,4,1758,,
"Elma's Bakery, Bar, and Kitchen",3.9,1756,,
Bombay Brasserie,4.6,1753,,
Barbeque Nation,4.9,1753,,
Columbia Restaurant,4.4,1746,,
Nando's,4,1730,,
Ella's Americana Folk Art Cafe,4.8,1715,,
Maplai,4.2,1714,,
The Chatter House,4,1700,,
Hollerbach's Willow Tree Caf??,4.8,1699,,
The California Boulevard,4.6,1691,,
Seasons 52 Fresh Grill,4.4,1685,,
Curlies,3.5,1681,,
Barbeque Nation,4.3,1670,,
Talaga Sampireun,4.9,1662,,
Dhaba By Claridges,4,1658,,
Rose Cafe,4.1,1653,,
Talaga Sampireun,4.9,1640,,
Lights Camera Action - Air Bar,4.4,1636,,
Red Mesa Cantina,4.6,1629,,
Naivedyam,4.2,1627,,
Sigree Global Grill,4.1,1616,,
L'amandier,4.3,1607,,
Dunkin' Donuts,3.9,1607,,
145 Kala Ghoda,4.2,1606,,
Made In Punjab,4,1595,,
Al Jawahar,3.8,1585,,
German Bakery Wunderbar,4,1583,,
650 - The Global Kitchen,4.2,1582,,
Big Chill,4.6,1569,,
18 Degrees Resto Lounge,3.6,1566,,
Echoes Satyaniketan,4.7,1563,,
FIO Country Kitchen and Bar,4.2,1561,,
The Junkyard Cafe,3.9,1545,,
The Hudson Cafe,4.4,1537,,
Effingut Brewerkz,4.3,1531,,
Agent Jack's Bar,4.2,1531,,
YOLO 21,4.2,1526,,
Garam Dharam,3.4,1523,,
Big Chill,4.4,1521,,
Tea Villa Cafe,3.6,1515,,
Fusilli Reasons,4.6,1510,,
Pantry d'or,4.4,1504,,
Caffe Tonino,3.9,1503,,
Skye,4.1,1498,,
Duke's Waikiki,4.4,1492,,
Olive Bistro,3.9,1490,,
