Restaurant Name,Price range,Has Table booking,Has Online delivery,Online Delivery by Price Range,Total Restaurants by Price Range,Percentage Offering Online Delivery,Percentage Offering table
Le Petit Souffle,3,Yes,No,514,3613,14%,0%
Izakaya Kikufuji,3,Yes,No,902,2421,37%,9%
Heat - Edsa Shangri-La,4,Yes,No,338,1241,27%,47%
Ooma,4,No,No,47,562,8%,47%
Sambo Kojin,4,Yes,No,,,,
Din Tai Fung,3,No,No,,,,
Buffet 101,4,Yes,No,,,,
Vikings,4,Yes,No,,,,
Spiral - Sofitel Philippine Plaza Manila,4,Yes,No,,,,
Locavore,3,Yes,No,,,,
Silantro Fil-Mex,3,No,No,,,,
Mad Mark's Creamery & Good Eats,3,Yes,No,,,,
Guevarra's,3,Yes,No,,,,
Sodam Korean Restaurant,3,No,No,,,,
Cafe Arabelle,3,No,No,,,,
Nonna's Pasta & Pizzeria,3,No,No,,,,
Balay Dako,3,Yes,No,,,,
Hobing Korean Dessert Cafe,2,No,No,,,,
Wildflour Cafe + Bakery,4,Yes,No,,,,
NIU by Vikings,4,Yes,No,,,,
The Food Hall by Todd English,4,Yes,No,,,,
Chez Michou,2,No,No,,,,
Caf?? Daniel Briand,1,No,No,,,,
Casa do Biscoito Mineiro,2,No,No,,,,
Maori,3,No,No,,,,
Pizza ?? Bessa,2,No,No,,,,
Sushi Loko,3,No,No,,,,
Beirute,3,No,No,,,,
New Koto,4,No,No,,,,
Sandubas Caf??,1,No,No,,,,
Villa Tevere,4,No,No,,,,
Rovereto,4,No,No,,,,
Buena Carne,3,No,No,,,,
Taco Pep,4,No,No,,,,
Coco Bambu,4,No,No,,,,
Tayp??,4,No,No,,,,
Outback Steakhouse,4,No,No,,,,
Manzu??,4,No,No,,,,
Gero,4,No,No,,,,
Brazilian American Burgers,2,No,No,,,,
Pesqueiro Eco Gourmet,4,No,No,,,,
Confeitaria Colombo,4,No,No,,,,
Bibi,3,No,No,,,,
Cervantes,3,No,No,,,,
Amir,4,No,No,,,,
TT Burger,3,No,No,,,,
Braseiro da G??vea,4,No,No,,,,
Balada Mix,3,No,No,,,,
Garota de Ipanema,4,No,No,,,,
